pimprod2028097,Drunk Elephant,C-Tango Multivitamin Eye Cream,Eye Treatments,Eye Cream,$64.00,0.5 oz,https://media.ulta.com/i/ulta/2588441?w=100&h=100&fmt=auto,965 Reviews,"Benefits
Refreshes and restores a radiant appearance
Brightens the look of uneven tone
Visibly improves stubborn signs of damage
Improves the appearance of fine lines and wrinkles
Gentle enough for AM and PM use
Formulated at a skin-friendly pH of 6.8
Dermatologist Tested
Formulated without the Suspicious 6 - the six ingredients Drunk Elephant believes are at the root of almost every skin issue (Essential oils, Silicones, Chemical sunscreens, SLS, Fragrances + dyes, and Drying alcohols)
Key Ingredients
Power 5C Vitamin Complex: 5 forms of vitamin C work together to brighten uneven tone & firm skin. When paired with peptides & antioxidants, like vitamin E & superoxide dismutase, Drunk Elephant's 5C complex offers unparalleled defense against damaging UV rays, pollution & other free radicals.
8-Peptide Blend: Rebuilds, strengthens, and improves the appearance of fine lines and wrinkles.
Cucumber: Antioxidant-rich, nonsensitizing plant extract.
Research Results
In a consumer-perception study with 31 people after 8 weeks:
96% agreed skin felt hydrated
84% agreed skin felt smoother and tone looked more even
81% agreed their eye area felt firmer","Water/Aqua/Eau, Glycerin, Dicaprylyl Carbonate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Ascorbyl Phosphate, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Persea Gratissima (Avocado) Oil, Plukenetia Volubilis Seed Oil, Magnesium Ascorbyl Phosphate, Ceteareth-6 Olivate, Tetrahexyldecyl Ascorbate, Ascorbyl Glucoside, Ascorbyl Palmitate, Palmitoyl Tripeptide-1, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Ceramide NP, Glycine Soja (Soybean) Protein, Ceramide AP, Phytosphingosine, Cholesterol, Ceramide EOP, Cucumis Sativus (Cucumber) Fruit Extract, Camellia Sinensis Leaf Extract, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Palmitoyl Dipeptide-5 Diaminohydroxybutyrate, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Sodium Hyaluronate Crosspolymer, C12-15 Alkyl Benzoate, Panthenol, Dipotassium Glycyrrhizate, Hesperidin Methyl Chalcone, Dipeptide-2, Palmitoyl Tetrapeptide-7, Fragaria Ananassa (Strawberry) Seed Extract, Medicago Sativa (Alfalfa) Extract, Morus Alba Leaf Extract, Hydrolyzed Rice Protein, Spilanthes Acmella Flower Extract, Aloe Barbadensis Leaf Juice, Ubiquinone, Superoxide Dismutase, Palmitoyl Tripeptide-38, Acetyl Hexapeptide-8, Pyrus Malus (Apple) Fruit Extract, Phytic Acid, Actinidia Chinensis (Kiwi) Fruit Extract, Vaccinium Myrtillus Leaf Extract, Tocopherol, Thioctic Acid, N-Hydroxysuccinimide, Chrysin, Mica, Ethylhexyl Palmitate, Phenoxyethanol, Pentylene Glycol, Sodium Lauroyl Lactylate, Titanium Dioxide, Hydroxypropyl Cyclodextrin, Sodium Benzoate, Xanthan Gum, Carbomer, Tocopheryl Acetate, Sodium Dextran Sulfate, Sorbitan Isostearate, Caprylyl Glycol, Steareth-20, Chlorhexidine Digluconate, Citric Acid, Chlorphenesin, Polysorbate 60, Potassium Sorbate, Ethylhexylglycerin","Gently pat a pump of C-Tango around the eye area using your ring finger. May be mixed with Shaba Complex Eye Serum.
Tip: Leave C-Tango in the fridge for a cooling, soothing treatment."
pimprod2030345,Hero Cosmetics,Rescue Balm Post-Blemish Recovery Cream,Treatment & Serums,Acne & Blemish Treatments,$12.99,0.5 oz,https://media.ulta.com/i/ulta/2591984?w=100&h=100&fmt=auto,"2,276 Reviews","Benefits
Delivers intensive post-pimple moisture
Quenches signs of redness caused by dry skin
Instantly smooths scaly, uneven texture
Reduces the look of after-blemish bumps
Leaves your skin feeling soft, silky, and renewed
Key Ingredients
Panthenol: Infuses essential moisture
Beta glucan: Replenishes and renews
Oligopeptides: Fortifies dry and depleted skin
Vitamin E: Revitalizes skin's tone and texture
Shea Butter: Softens, smooths, and nourishes
Formulated Without
Hydroquinone
Paraben
Fragrance
Sulfate free","Water/Aqua/Eau, Hydrogenated Polyisobutene, Dimethicone, Glycerin, Butyrospermum Parkii (Shea) Butter, Panthenol, Propanediol, Butylene Glycol, Aluminum Starch Octenylsuccinate, Caprylic/Capric Triglyceride, Cetyl PEG/PPG-10/1 Dimethicone, Beta-Glucan, Oligopeptide-32, Oligopeptide-29, Allantoin, Copper Tripeptide-1, Tocopherol, Silica Dimethyl Silylate, Triethoxycaprylylsilane, Pantolactone, Acetyl Hexapeptide-8, Trihydroxystearin, Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Polyglyceryl-3 Oleate, Polyglyceryl-4 Isostearate, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Disteardimonium Hectorite, Stearalkonium Hectorite, Aluminum Hydroxide, Zinc Oxide, PEG-10 Dimethicone, Magnesium Sulfate, Propylene Carbonate, Tetrasodium Iminodisuccinate, 1,2-Hexanediol, Ethylhexylglycerin, Titanium Dioxide.","Use Rescue Balm immediately after popping a zit or patching with Mighty Patch Original, Invisible+, or Surface. Remove your gunk-filled Mighty Patch. Cleanse and dry your skin. Blend a rice-sized amount of Rescue Balm onto the blemish area. Repeat 1-2 times daily until your skin looks [smooth and happy / trouble-free].
Precautions: For external use only. Stop using and ask a doctor if a rash and/or irritation occurs. Keep out of reach of children."
pimprod2028641,Murad,Mini Rapid Dark Spot Correcting Serum,Travel Size Skin Care,,$29.00,0.3 oz,https://media.ulta.com/i/ulta/2587284?w=100&h=100&fmt=auto,710 Reviews,"Benefits
Visibly brightens skin and reduces dark spots in 2 weeks*
Exfoliates dull skin to smooth and boost skincare benefits.
Helps prevent future dark spots for a brighter, more even-toned complexion
For all skin types and tones
Key Ingredients
Patented Resorcinol Technology: exclusive to Murad, visibly improves dark spots + uneven tone.
Tranexamic Acid: helps revive dull, uneven-toned skin and prevent new dark spots.
Glycolic Acid: exfoliates dull skin to brighten and improve texture
Research Results
In 2 weeks:
84% showed a reduction in the look of dark spots*
91% saw brighter skin**
94% saw smoother skin**
*Clinically proven results via instrumental measurement of areas with dark spots. With Murad regimen.
**Proven results reported by trial participants in a 4-week clinical study, with Murad regimen.","Water/Aqua/Eau, Alcohol Denat., Glycolic Acid, Butylene Glycol, Glycerin, Methyl Gluceth-20, Tranexamic Acid, 4-Ethylresorcinol, Hexapeptide-2, Rice Amino Acids, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Zinc Gluconate, Dipotassium Glycyrrhizate, Allantoin, Hydroxyethylcellulose, Sodium Metabisulfite, Sodium Sulfite, Sodium Hydroxide, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Polyquaternium-4, Disodium EDTA, Limonene, Benzyl Salicylate, Linalool, Fragrance (Parfum).","Use AM and PM. After cleansing, massage evenly over face and neck. Follow with a moisturizer. Use a sunscreen during the day.
Reduce frequency if sensitivity occurs."
pimprod2044163,The Crème Shop,Hello Kitty Plush Spa Headband with Signature Bow-Pink,K-Beauty,,$12.00,1 ct,https://media.ulta.com/i/ulta/2623290?w=800&h=800&fmt=auto,12 Reviews,"Benefits
Super soft, plush teddy bear texture
Provides maximum comfort while applying makeup or skincare
Travel-friendly
Features
Hello Kitty's Signature Bow",,"Plush Spa Teddy Headyband should be gently washed by hand with warm water and soap. Air dry only. Should be washed frequently.
Precautions: For external use only."
pimprod2038378,Kopari Beauty,Sun Shield Soft Glow Daily Face SPF 30,Suncare,Sunscreen,$38.00,1.5 oz,https://media.ulta.com/i/ulta/2605239?w=100&h=100&fmt=auto,350 Reviews,"Benefits
Broad Spectrum UVA/UVB SPF 30
Lightweight, sheer satin finish
Leaves skin with a subtle, radiant glow
Layers seamlessly under makeup
Suitable for all skin types
100% Recyclable
Key Ingredients
Broad Spectrum SPF 30 to protect skin from harmful UVA and UVB rays
Antioxidant Vitamin E works to protect from free radicals that can damage cells and lead to premature aging
Sustainably-sourced mica helps to illuminate skin with a subtle, radiant glow
Formulated Without
Phthalate
Sulfate
Fragrance","Active: Homosalate 10%, Octisalate 5%, Octocrylene 4%, Avobenzone 3%.
Inactive: Isododecane, Dimethicone/Bis-lsobutyl PPG-20 Crosspolymer, Butyloctyl Salicylate, C12-15 Alkyl Benzoate, Caprylyl Methicone, Caprylic/Capric Triglyceride, Dimethicone/Vinyl Dimethicone Crosspolymer, Mica, Titanium Dioxide (Cl 77891), Tocopheryl Acetate, Silica, Tin Oxide, Tocopherol.","Apply generously and evenly as the last step in your skincare routine and before makeup. Reapply every 2 hours and as needed.
Precautions: For external use only. Do not use on damaged or broken skin. When using this product keep out of eyes. Rinse with water to remove. Stop use and ask a doctor if rash occurs."
pimprod2050298,OSEA,Dream Night Serum with Bio-Retinol,Treatment & Serums,Face Serums,$88.00,1.0 oz,https://media.ulta.com/i/ulta/2636246?w=100&h=100&fmt=auto,197 Reviews,"Benefits
Visibly reduces crow’s feet, fine lines, wrinkles and deep wrinkles
Improves the appearance of skin firmness
Softens and smooths skin
Calming and relaxing lavender scent
Sustainably packaged: Bottle is made of frosted glass.
Key Ingredients
Bio Retinol: Potent extract derived from green microalgae that acts as a safe, stable alternative to retinol, visibly improves lines, wrinkles and skin firmness without irritation.
Red Seaweed: Sustainably sourced Jania rubens visibly reduces the look of wrinkles and improves skin smoothness.
2 Firming Peptides: Tripeptide and tetrapeptide smooths the look of fine lines and wrinkles.
Hydrolyzed Hyaluronic Acid: Visibly reduces the appearance of deep wrinkles.
Research Results
After 1 use:
100% showed visible improvement in crow’s feet and fine lines*
100% showed visible improvement in wrinkles and deep wrinkles*
After 4 weeks:
Clinically shown to visibly improve skin firmness after 4 weeks*
100% agreed the product is gentle and non-irritating**
91% agreed skin looks smoother and feels softer**
*Based on an independent third-party clinical study conducted on 31 women.
**Based on an independent third-party consumer perception study conducted on 32 women","Water / Aqua / Eau, Cucumis Sativus (Cucumber) Fruit Water, Glycerin, Propanediol, Sodium Hyaluronate, Lavandula Angustifolia (Lavender) Flower Extract, Palmitoyl Tripeptide-38, Jania Rubens Extract, Chlorella Vulgaris Extract, Spirulina Platensis Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Sodium Lactate, Sodium PCA, Tetrapeptide-1, Hydrolyzed Hyaluronic Acid, Lavandula Angustifolia (Lavender) Oil, Hydrolyzed Gardenia Florida Extract, Hydroxypropyl Cyclodextrin, Lecithin, Lactic Acid, Maltodextrin, Trehalose, Xanthan Gum, Caprylyl Glycol, Sodium Citrate, Potassium Sorbate, Phenoxyethanol, Sodium Benzoate, Fragrance / Parfum*, Citral, Limonene, Linalool
*Natural Fragrance
NATURAL FRAGRANCE IS A BLEND OF AROMATIC COMPOUNDS AND/OR ESSENTIAL OIL(S) EXTRACTED FROM DIFFERENT PARTS OF PLANTS INCLUDING FLOWERS AND FRUITS.","After cleansing, apply a few drops to face and neck. Seal with OSEA Dream Night Cream.
After cleansing, apply a few drops to clean, dry skin on face and neck. Follow with OSEA Dream Night Cream. Can be used daily in the morning or at night. No build-up period required."
pimprod2045737,Bushbalm,Radiant Reset Toner Pads for Dark Spots & Ingrown Hairs,Treatment & Serums,Body Treatments,$19.00,30 ct,https://media.ulta.com/i/ulta/2627640?w=100&h=100&fmt=auto,30 Reviews,"Benefits
Improves the look of ingrown hairs + dark spots
Soothes + relieves redness after hair removal
Alcohol-free formula that gently exfoliates skin to remove dead skin cells + unclog pores, leading to smoother, brighter, and more even-toned skin
pH Balanced + Fragrance Free
Safe for bikini line, underarms, legs + full body
Gynecologist + Dermatologist approved
Key Ingredients
Tranexamic Acid: Helps brighten and fade dark spots and discolouration
Lactic Acid: Exfoliates to visibly refine uneven texture
Niacinamide: Hydrates, brightens and minimizes enlarged pores
Salicylic Acid: Visibly brightens, smooths texture, and purifies
Witch Hazel: A natural astringent that helps soothe and brighten skin
Research Results
In a consumer study:
91% Saw an improvement in the look of dark spots and hyperpigmentation
91% Agreed that they saw noticeable results after using
81% Agreed the product did not irritate their skin or make it feel dry or stripped","Water/Aqua/Eau, Lactic Acid, Tranexamic Acid, Hamamelis Virginiana (Witch Hazel) Water, Sodium Hydroxide, Niacinamide, Salicylic Acid, Decyl Glucoside, Sodium Gluconate, Sodium Benzoate ,Potassium Sorbate.","Gently use a single pad over clean, dry skin. To start, use one to three times a week, increasing up to daily if well-tolerated. Begin using a day after hair removal.
Recommended areas: For your most intimate skin, such as the mons pubis, bikini line, underarms---or anywhere you need a radiant boost.
Precautions: Sunburn Alert: This product contains alpha hydroxy acid (AHA) that may increase your skin's sensitivity to the sun, and particularly the possibility of sunburn. Use sunscreen after application, and limit sun exposure while using this product and a week afterwards."
pimprod2046251,Neutrogena,Collagen Bank Daily Face Moisturizer with SPF 30,Suncare,Sunscreen,$29.99,2.0 oz,https://media.ulta.com/i/ulta/2625706?w=100&h=100&fmt=auto,"1,226 Reviews","Benefits
Did you know you lose up to 1% of collagen each year, and it is vital for youthful looking skin?
Strengthen the collagen you have, build the collagen you don’t for plumper, glowing skin
Patented micro-peptide technology 2x smaller than leading anti-aging peptides, penetrates deep
Clinically proven anti-aging face cream, 96% showed improvement in early signs of collagen decline*
SPF 30 facial moisturizer defends against the #1 collagen depleting aggressor, the sun
Instantly leaves skin feeling moisturized. Gentle for daily use and suitable for all skin types
Lightweight, silky face lotion formula melts into skin with an invisible finish & won't clog pores
Face and neck firming cream is fragrance free, paraben free, phthalate free, and dye free
Formulated Without
Fragrance
Phthalates
Dyes","Active: Avobenzone (2.5%), Homosalate (6%), Octisalate (4.5%), Octocrylene (8%) Purpose: Sunscreen
Inactive:Water, Silica, Caprylyl Methicone, Diisopropyl Adipate, Dimethicone, Potassium Cetyl Phosphate, Synthetic Beeswax, Benzyl Alcohol, Hydrolyzed Collagen, Acetyl Dipeptide-31 Amide, Tocopheryl Acetate, Jojoba Esters, Hydrolyzed Jojoba Esters, Caprylyl Glycol, Ethylhexylglycerin, Cetyl Dimethicone, Glyceryl Stearate, PEG-100 Stearate, Behenyl Alcohol, Xanthan Gum, Sodium Polyacry-late, Acrylates/Dimethicone Copolymer, Dimethicone/PEG-10/15 Crosspolymer, Ethylhexyl Stearate, Chlorphenesin, Disodium EDTA, Trideceth-6, BHT","For sunscreen use:
Apply generously and evenly 15 minutes before sun exposure
Reapply at least every 2 hours
Use a water resistant sunscreen if swimming or sweating
Sun Protection Measures: Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including:
Limit time in the sun, especially from 10 a.m. -- 2 p.m.
Wear long-sleeved shirts, pants, hats, and sunglasses
Children under 6 months of age: Ask a doctor
Other Information:
Protect this product from excessive heat and direct sun
May stain some fabrics
Precautions: For external use only. Do not use:
On damaged or broken skin
When using this product:
Keep out of eyes. Rinse with water to remove.
Stop use and ask a doctor if
Rash occurs
Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
pimprod2046981,Rael,Miracle Clear Barrier Cream,Moisturizers,Face Moisturizer,$13.99,1.8 oz,https://media.ulta.com/i/ulta/2629907?w=100&h=100&fmt=auto,124 Reviews,"Benefits
Formulated for sensitive, oily, and acne-prone skin types
Fragrance-free, non-irritating, and non-drying
Key Ingredients
Ceramide NP: Reinforces skin's barrier while soothing irritation
Succinic Acid: Reduces sebum and helps eliminate buildup
Research Results
Increased skin's moisture content by 213%*
*Based on 21 participants in a clinical study","Water (Aqua), Glycerin, Propanediol, Caprylic/Capric Triglyceride, 1,2-Hexanediol, Dicaprylyl Ether, Pentaerythrityl Tetraethylhexanoate, Pentylene Glycol, Vinyl Dimethicone, Cetearyl Alcohol, Sucrose Polystearate, Behenyl Alcohol, Diisostearyl Malate, Panthenol, Succinic Acid, Cetearyl Olivate, Sodium Polyacryloyldimethyl Taurate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sorbitan Olivate, Centella Asiatica Extract, Poly C10-30 Alkyl Acrylate, Xanthan Gum, Glyceryl Acrylate/Acrylic Acid Copolymer, Ethylhexylglycerin, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Limonene, Olea Europaea (Olive) Oil Unsaponifiables, Hydrogenated Lecithin, Salvia Sclarea (Clary) Oil, Linalool, Ceramide NP, Oryza Sativa (Rice) Extract, Sea Salt, Saccharomyces/Rice Ferment Filtrate, Tocopherol.","Massage onto cleansed & toned skin for protective moisturization. Use daily, morning and night.
Precautions: For external use only. If irritation or discomfort occurs, discontinue use and consult a physician immediately. Avoid contact with eyes. Keep out of reach of children."
pimprod2043938,Clarins,Body Fit Active Contouring & Smoothing Gel-Cream,Treatment & Serums,Body Treatments,$78.00,6.7 oz,https://media.ulta.com/i/ulta/2620951?w=100&h=100&fmt=auto,"2,338 Reviews","Benefits
Visibly lifts, tightens + tones
Targets cellulite to visibly contour + define
Hydrates + smoothes skin
Cooling Cryo-Effect texture provides an instant lifting effect*
*Consumer test - 108 women - 28 days
Features
86% Skin is smoother*
82% Skin is more toned*
Visibly reduces the look of dimpled skin by 35%**
*Self-assessment - 108 women - 14 days
**Self-assessment on a structured scale - 108 women - 28 days
Key Ingredients
NEW Skin Smoothing Power Complex of energizing Organic Matcha Tea extract + Plant Caffeine targets cellulite to smooth and refine body contours
Scabious extract, Quince Leaf extract, and Celosia visibly contour + define
Organic Coconut Oil nourishes + protects
Organic Aloe Vera intensely hydrates","Aqua/Water/Eau, Alcohol, Propanediol, Glycerin, Caffeine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cocos Nucifera (Coconut) Oil, Parfum/ Fragrance, Menthol, Tapioca Starch, Sodium Acrylates Copolymer, Hydroxyacetophenone, Tocopheryl Acetate, Lecithin, Aloe Barbadensis Leaf Juice Powder, Decylene Glycol, Polysorbate 60, Sorbitan Isostearate, Cydonia Oblonga Leaf Extract, Disodium Edta, Tocopherol, Scabiosa Arvensis Extract, Celosia Cristata Flower Extract, Ethylene Brassylate, Camellia Sinensis Leaf Extract, Mentha Aquatica Leaf Extract, Citric Acid, Helianthus Annuus (Sunflower) Seed Oil, Sodium Benzoate, Potassium Sorbate, Ci 14700/Red 4, [C4339A].","1 APPLY: Use both hands to gently smooth the product onto skin, starting at the ankles and working your way up to hips and waist. Repeat twice.
DRAIN: Apply pressure with both hands around the ankle, and work upwards towards the top of the thigh until the waist. Repeat 6 times.
Place your hands around your knee. Using fingertips, perform draining movements at the back of the knee. Repeat 3 times.
With both hands flat and on top of each other, use press and release actions at the very top of inner thigh. Repeat 3 times.
SMOOTH: With your fists, perform alternating smoothing/circular motions on the inside, top and outside of the thigh. Repeat 5 times."
pimprod2049213,Cetaphil,Sheer Mineral Sunscreen Stick SPF 50,Suncare,Sunscreen,$9.99,0.5 oz,https://media.ulta.com/i/ulta/2634596?w=100&h=100&fmt=auto,114 Reviews,"Benefits
100% mineral active sunscreen that reflects UVA/UVB rays to protect skin and prevent sunburn
Formulated with a combination of sheer zinc oxide and titanium dioxide with prebiotics and soothing vitamin E to help protect skin from surface free radicals
Chemical-free sun protection that locks in moisture to hydrate and nourish all while protecting skin's delicate microbiome
Portable size and easy application make it ideal for use on the go; ideal for fragile areas like lips, nose, earlobes and around the eyes
Dermatologist tested and clinically proven to be gentle on sensitive skin
Hypoallergenic
Received the NEA Seal of Acceptance
Key Ingredients
Titanium Dioxide 6%
Zinc Oxide 4.7%
Tocopherol (Vitamin E) - helps retain moisture to keep your skin looking radiant and healthy
Formulated Without
Paraben","Active: Titanium Dioxide 6.0%, Zinc Oxide 4.7%.
Inactive: Aluminum Hydroxide, Beeswax, Bht, Butyloctyl Salicylate, D12-15 Alkyl Benzoate, Cetyl Alcohol, Dimethicone, Euphorbia Cerifera (Candelilla) Wax, Isostearic Acid, Neopentyl Glycol Diethylhexanoate, Ozokerite, Paraffin, Polyethylene, Stearic Acid, Tocopheryl Acetate (Vitamin E), Triethoxycaprylylsilane.","For daily SPF coverage, apply a teaspoon to face, neck and chest, and two tablespoons to the rest of the body. Reapply throughout the day according to directions."
pimprod2041072,DIME,Hyaluronic Acid Serum: Hydrating + Plumping,Treatment & Serums,Face Serums,$32.00,1.0 oz,https://media.ulta.com/i/ulta/2616775?w=100&h=100&fmt=auto,"4,117 Reviews","Benefits
Helps to continuously promote hydration
Boosts skin's bounce
EWG VERIFIED
Key Ingredients
Hyaluronic Acid: Hyaluronic acid aids in smoothing and plumping the skin, while providing an extra burst of moisture.
Ethylhexylglycerin: This ingredient acts as gentle preservative.
Formulated Without
Sulfates: DIME products never contain skin-irritating ingredients such as sulfates. Sulfate-free products are gentle on the skin and can help decrease the chances of an allergic reaction.
Phthalates: Certain phthalates (like Dibutyl Phthalate, aka DBP, or DEHP, and DEP) appear on product labels, but most typically remain unlisted, hiding under the term “fragrance.” Since some phthalates have been linked to hormone disruption, DIME avoids them.","Water, Hyaluronic Acid, Phenoxyethanol, Ethylhexylglycerin.","After cleansing face with a DIME cleanser, apply 3-4 drops every morning and night (or as needed) to the face and neck area. Massage into skin. Make sure to follow with a DIME moisturizer. For best results, apply daily.
As a Conscious Beauty brand, DIME features sustainable packaging. Once product is empty, twist off cap, rinse bottle, and toss into recycling bin."
pimprod2037793,Beekman 1802,Oh! Mega Milk Fermented Barrier Boosting Facial Oil,Moisturizers,Face Oils,$54.00,0.9 oz,https://media.ulta.com/i/ulta/2606960?w=100&h=100&fmt=auto,395 Reviews,"Benefits
Transforms dull, dry skin into mega healthy, hydrated, and radiant skin
Goat milk is rich in omega fatty acids and the fermented plant oils increase omega fatty acid content by 90x, for superior skin nourishment and hydration
Strengthens and repairs the skin barrier
Silky after-feel that's never sticky or greasy
Safe for sensitive skin
Dermatologist-approved
Key Ingredients
Fermented Free Fatty Acid Rich Plant Oils: for 20% deeper skin penetration, 90x more free fatty acids and 2x the moisture retention
Goat Milk: rich in skin-nourishing vitamins and minerals
Niacinamide: softens skin, evens tone and improves elasticity for better aging
Vitamin C: helps boost skin brightness and even skin tone
Formulated without parabens, sulfates, mineral oil, alcohol, skin-damaging exfoliants
Research Results
97% said instantly illuminates for a glazed finish
9 out of 10 said this formula is unique compared to other facial oils","Water (Aqua), Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Helianthus
Annuus (Sunflower) Seed Oil, Polyglyceryl-3 Polyricinoleate, Simmondsia Chinensis (Jojoba) Seed Oil, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Olea Europaea (Olive) Fruit Oil, Argania Spinosa Kernel Oil, Angelica
Gigas Root Extract, Lithospermum Erythrorhizon Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Tetrahexyldecyl Ascorbate, Niacinamide, Caprae Lac (Goat Milk), Tocopherol (Vitamin E), Rosmarinus Officinalis (Rosemary) Leaf Extract, Acetyl Zingerone, Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Magnesium Sulfate, Phenylpropanol, Ethylhexylglycerin
... and Kindness. Does not contain live cultures.","Apply a few drops onto face, neck and décolletage, and massage into skin.
For drier skin use as a last step over your moisturizer."
pimprod2044157,The Crème Shop,Hello Kitty Advanced Body Cleanser - Strawberry Oat Milk,Bath & Shower,Shower Gel & Body Wash,$15.00,16.9 oz,https://media.ulta.com/i/ulta/2622651?w=800&h=800&fmt=auto,44 Reviews,"Benefits
helps brighten, clarify and moisture
lightweight, all day moisture
Key Ingredients
Squalane and Ceramide NP","Aqua/Water, Sodium C14-16 Olefin Sulfonate, Glycerin, Cocamidopropyl Betaine, Acrylates/Steareth-20 Methacrylate Copolymer, Sodium Chloride, Phenoxyethanol, Sodium Sulfate, Tetradecene, Hexadecene, Ethylhexylglycerin, Squalane, Octyldodecanol, Hydrogenated Lecithin, 1,2-Hexanediol, Ceramide NP, Fragrance.","Use a small amount of bodywash in the shower or bath. Squeeze out a dime sized amount of bodywash, as you do not need much to clean your whole body. Avoid using too much bodywash at once, as this can irritate or dry out your skin. Scrub and rinse.br>
Precautions: For external use only. Discontinue use if signs of irritation appear. Keep out of reach of children. Effectiveness may vary per skin type. Stop use immediately and consult a physician if problems occur after use."
pimprod2037844,Peace Out,Salicylic Acid Day & Night Duo,Treatment & Serums,Acne & Blemish Treatments,$20.00,20 ct,https://media.ulta.com/i/ulta/2606704?w=100&h=100&fmt=auto,68 Reviews,"Benefits
Your day-to-night acne treatment duo! Day Dots are designed to be your invisible under makeup daytime acne solution & OG Acne Dots are your heavy hitter for peskier breakouts overnight. Both feature clean Hydrocolloid Polymer Technology, Salicylic Acid & Retinol to reduce breakouts in 6 hrs or less
91% of participants said that after using the Acne Healing Dot, their blemish was less red, less uncomfortable, and significantly less annoying in 6 hours
91% of participants said that the Acne Healing Dot healed the acne that it was applied to
95% of participants said the Acne Healing Dot helped soothe their skin where it was applied
100% of the participants said the Acne Day Dot helped protect and heal skin while wearing makeup
Key Ingredients
ENCAPSULATED SALICYLIC ACID - Penetrates pores to target acne blemishes and blackheads
ALOE VERA LEAF EXTRACT - Gently soothes while minimizing the appearance of redness
RETINOL (Retinyl Acetate, Vitamin A) - Promotes clear-looking skin
Formulated Without
Parabens
Gluten
Aminomethyl
Artificial Colorant & Flavors
BPA(Bisphenol A)
Formaldehydes
Synthetic Fragrance (>1%)","Salicylic Acid 0.5%, Aloe Barbadensis (Aloe Vera) Leaf Extract, Retinyl Acetate (Vitamin A), Hydrocolloid Polymer Technology.","After cleansing, apply a Peace Out Acne Day Dot, tacky side down, directly on your blemish.
Follow with skincare and/or makeup.
For best results, wear for at least six hours.
For peskier pimples, follow the same steps above with Acne Healing Dots overnight."
pimprod2038044,NYX Professional Makeup,Face Freezie Cooling Hydration Moisturizer + Primer,Moisturizers,Face Moisturizer,$20.00,1.69 oz,https://media.ulta.com/i/ulta/2605421?w=100&h=100&fmt=auto,477 Reviews,"Benefits
Cooling is just the tip of the iceberg! Perfect your priming game with the coolest trend in wellness.
Featuring 10-IN-1 benefits, this makeup prep care preps, evens, smooths, minimizes pores, tightens, hydrates, sculpts, softens, calms & revitalizes skin.
Indulge in the icy unique frozen sorbet texture that melts on your skin, leaving behind a fresh cooling sensation!
For maximum icy benefits, pair with the Face Freezie Reusable Cooling Undereye Patches.
Vegan & cruelty free.
Key Ingredients
Formulated with Snow Mushroom for 24-hour hydration, and Niacinamide to tighten those pores!","Aqua / Water / Eau, Glycerin, Butylene Glycol, Sodium Acrylates Crosspolymer-2, Pentylene Glycol, Xylitol, Methylpropanediol, Niacinamide, Solanum Melongena Fruit Extract / Eggplant Fruit Extract, Corallina Officinalis Extract, Coccinia Indica Fruit Extract, Curcuma Longa Root Extract, Aloe Barbadensis Flower Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Tremella Fuciformis Extract / Mushroom Extract, Ocimum Sanctum Leaf Extract, Methyl Diisopropyl Propionamide, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, T-Butyl Alcohol, Ethylhexylglycerin, Phenoxyethanol","Apply AM and PM on clean, dry skin. Wear alone for that dewy, fresh-face finish or before makeup/foundation for makeup-ready skin. Avoid eye area and direct eye contact. Get iced out with cryo inspired benefits by pairing with our Face Freezie Cooling Undereye Patches, before or after application!"
