run_timestamp_utc,query_id,query_text,rank,stage,product_id,brand,product_name,category,subcategory,price_usd,final_score,embedding_score,review_avg,reviews_used,extracted_brand_norm,used_brand_filter,price_intent_json,overall_relevant_llm,eval_query_id
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",1,stage_a,skinfix acne+ 2% bha + azelaic acid + niacinamide + aha cleanser,Skinfix,Acne+ 2% BHA + Azelaic Acid + Niacinamide + AHA Cleanser,Cleansers,Face Wash & Cleansers,$35.00 ,0.608439,0.594613,0.629179,20,,0,,1.0,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",2,stage_a,the inkey list salicylic acid acne + blackhead cleanser,The INKEY List,Salicylic Acid Acne + Blackhead Cleanser,Cleansers,Face Wash & Cleansers,$14.00 ,0.607595,0.580966,0.647539,20,,0,,1.0,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",3,stage_a,peace out 2% salicylic acid acne gel cleanser,Peace Out,2% Salicylic Acid Acne Gel Cleanser,Cleansers,Face Wash & Cleansers,$29.00 ,0.601113,0.585211,0.624966,20,,0,,1.0,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",4,stage_a,"the ordinary salicylic acid 2% solution, exfoliating serum for acne",The Ordinary,"Salicylic Acid 2% Solution, Exfoliating Serum for Acne",Treatments,Blemish & Acne Treatments,$6.70 ,0.592359,0.584748,0.603775,20,,0,,0.5,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",5,stage_a,paula's choice clear pore normalizing acne cleanser,Paula's Choice,CLEAR Pore Normalizing Acne Cleanser,Cleansers,Face Wash & Cleansers,$24.00 ,0.581263,0.601723,0.550574,20,,0,,1.0,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",1,stage_b,the inkey list salicylic acid acne + blackhead cleanser,The INKEY List,Salicylic Acid Acne + Blackhead Cleanser,Cleansers,Face Wash & Cleansers,$14.00 ,0.60147,0.580966,0.62653,50,,0,,1.0,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",2,stage_b,skinfix acne+ 2% bha + azelaic acid + niacinamide + aha cleanser,Skinfix,Acne+ 2% BHA + Azelaic Acid + Niacinamide + AHA Cleanser,Cleansers,Face Wash & Cleansers,$35.00 ,0.5966,0.594613,0.599029,50,,0,,1.0,1
2026-02-17T08:34:40.415657,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",3,stage_b,peace out 2% salicylic acid acne gel cleanser,Peace Out,2% Salicylic Acid Acne Gel Cleanser,Cleansers,Face Wash & Cleansers,$29.00 ,0.586049,0.585211,0.587072,50,,0,,1.0,1
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",1,stage_a,dermalogica super rich repair moisturizer,Dermalogica,Super Rich Repair Moisturizer,Moisturizers,Face Creams,$95.00 ,0.599109,0.623651,0.562296,20,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",2,stage_a,matter of fact minimalist hydrating moisturizer with pro-vitamin b5,MATTER OF FACT,MINIMALIST HYDRATING MOISTURIZER with Pro-Vitamin B5,Moisturizers,Face Creams,$76.00 ,0.569468,0.579088,0.555039,20,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",3,stage_a,sofie pavitt face omega rich moisturizer,SOFIE PAVITT FACE, Omega Rich Moisturizer,Moisturizers,Face Creams,$64.00 ,0.562859,0.572705,0.54809,20,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",4,stage_a,augustinus bader the ultimate soothing cream refillable moisturizer,Augustinus Bader,The Ultimate Soothing Cream Refillable Moisturizer,Moisturizers,Face Creams,$305.00 ,0.541887,0.572824,0.495483,20,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",1,stage_b,dermalogica super rich repair moisturizer,Dermalogica,Super Rich Repair Moisturizer,Moisturizers,Face Creams,$95.00 ,0.584269,0.623651,0.536137,50,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",2,stage_b,matter of fact minimalist hydrating moisturizer with pro-vitamin b5,MATTER OF FACT,MINIMALIST HYDRATING MOISTURIZER with Pro-Vitamin B5,Moisturizers,Face Creams,$76.00 ,0.555293,0.579088,0.526211,50,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:35:35.302296,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is free of parabens above 60$.",3,stage_b,sofie pavitt face omega rich moisturizer,SOFIE PAVITT FACE, Omega Rich Moisturizer,Moisturizers,Face Creams,$64.00 ,0.546833,0.572705,0.515213,50,,0,"{""gte"": 60.0}",1.0,2
2026-02-17T08:38:09.236776,3,I struggle with hyperpigmentation and dark spots after acne. I want a serum that helps brighten my skin and improve texture that contains Niacinamide.,1,stage_a,first aid beauty dark spot serum with niacinamide,First Aid Beauty,Dark Spot Serum with Niacinamide,Value & Gift Sets,,$42.00 ,0.688918,0.711163,0.65555,20,,0,,1.0,3
2026-02-17T08:38:09.236776,3,I struggle with hyperpigmentation and dark spots after acne. I want a serum that helps brighten my skin and improve texture that contains Niacinamide.,2,stage_a,eadem milk marvel dark spot serum with niacinamide and vitamin c,EADEM,Milk Marvel Dark Spot Serum with Niacinamide and Vitamin C,Treatments,Face Serums,$68.00 ,0.657545,0.652452,0.665186,20,,0,,1.0,3
2026-02-17T08:38:09.236776,3,I struggle with hyperpigmentation and dark spots after acne. I want a serum that helps brighten my skin and improve texture that contains Niacinamide.,3,stage_a,l'oréal bright reveal 12 percent niacinamide dark spot serum,L'Oréal,Bright Reveal 12 Percent Niacinamide Dark Spot Serum,Treatment & Serums,Face Serums,$39.99 ,0.651857,0.643748,0.664021,20,,0,,1.0,3
